text,font_name,size,weight,p-touch_width,spacing_0.0_width,spacing_0.0_diff,spacing_0.0_diff_pct,spacing_0.5_width,spacing_0.5_diff,spacing_0.5_diff_pct,spacing_1.0_width,spacing_1.0_diff,spacing_1.0_diff_pct,spacing_1.3_width,spacing_1.3_diff,spacing_1.3_diff_pct,spacing_1.5_width,spacing_1.5_diff,spacing_1.5_diff_pct,spacing_2.0_width,spacing_2.0_diff,spacing_2.0_diff_pct,spacing_2.5_width,spacing_2.5_diff,spacing_2.5_diff_pct,spacing_3.0_width,spacing_3.0_diff,spacing_3.0_diff_pct
ab,Arial,45.7,normal,48.2,50.83232498168945,2.6323249816894503,5.461255148733299,51.33232498168945,3.1323249816894503,6.498599547073549,51.83232498168945,3.6323249816894503,7.535943945413797,52.13232498168945,3.9323249816894474,8.15835058441794,52.33232498168945,4.13232498168945,8.573288343754045,52.83232498168945,4.63232498168945,9.610632742094296,53.33232498168945,5.13232498168945,10.647977140434543,53.83232498168945,5.63232498168945,11.685321538774792
abcdefghi,Arial,45.7,normal,194.3,198.19699096679688,3.8969909667968636,2.0056566993293172,202.19699096679688,7.896990966796864,4.064328855788401,206.19699096679688,11.896990966796864,6.123001012247485,208.59699096679688,14.29699096679687,7.358204306122938,210.19699096679688,15.896990966796864,8.181673168706569,214.19699096679688,19.896990966796864,10.240345325165652,218.19699096679688,23.896990966796864,12.299017481624736,222.19699096679688,27.896990966796864,14.357689638083821
abcdefghi,Helsinki,45.7,normal,194.2,226.6166633605957,32.41666336059572,16.692411617196562,230.6166633605957,36.41666336059572,18.752143852006036,234.6166633605957,40.41666336059572,20.811876086815513,237.01666336059571,42.816663360595726,22.0477154277012,238.6166633605957,44.41666336059572,22.871608321624986,242.6166633605957,48.41666336059572,24.93134055643446,246.6166633605957,52.41666336059572,26.991072791243937,250.6166633605957,56.41666336059572,29.05080502605341
ab,Helsinki,45.7,normal,48.4,55.998120117187504,7.598120117187506,15.698595283445261,56.498120117187504,8.098120117187506,16.73165313468493,56.998120117187504,8.598120117187506,17.764710985924598,57.2981201171875,8.898120117187503,18.384545696668393,57.498120117187504,9.098120117187506,18.79776883716427,57.998120117187504,9.598120117187506,19.83082668840394,58.498120117187504,10.098120117187506,20.863884539643607,58.998120117187504,10.598120117187506,21.896942390883275
ab,Helsinki Narrow,45.7,normal,39.8,43.76756916046143,3.96756916046143,9.968766734827716,44.26756916046143,4.46756916046143,11.22504814186289,44.76756916046143,4.96756916046143,12.481329548898067,45.067569160461424,5.267569160461427,13.235098393119166,45.26756916046143,5.46756916046143,13.73761095593324,45.76756916046143,5.96756916046143,14.99389236296842,46.26756916046143,6.46756916046143,16.250173770003595,46.76756916046143,6.96756916046143,17.50645517703877
abcdefghi,Helsinki Narrow,45.7,normal,159.4,170.6654067993164,11.265406799316395,7.06738193181706,174.6654067993164,15.265406799316395,9.576792220399245,178.6654067993164,19.265406799316395,12.086202508981426,181.0654067993164,21.6654067993164,13.591848682130738,182.6654067993164,23.265406799316395,14.595612797563609,186.6654067993164,27.265406799316395,17.105023086145792,190.6654067993164,31.265406799316395,19.614433374727977,194.6654067993164,35.265406799316395,22.123843663310158
abcdefghi,Comic Sans MS,45.7,normal,209.3,198.19699096679688,-11.103009033203136,-5.3048299250851105,202.19699096679688,-7.103009033203136,-3.393697579170156,206.19699096679688,-3.1030090332031364,-1.4825652332552013,208.59699096679688,-0.7030090332031307,-0.3358858257062258,210.19699096679688,0.8969909667968636,0.4285671126597532,214.19699096679688,4.896990966796864,2.3396994585747075,218.19699096679688,8.896990966796864,4.250831804489662,222.19699096679688,12.896990966796864,6.161964150404617
ab,Comic Sans MS,45.7,normal,48.1,50.83232498168945,2.7323249816894517,5.680509317441687,51.33232498168945,3.2323249816894517,6.720010356942726,51.83232498168945,3.7323249816894517,7.7595113964437665,52.13232498168945,4.032324981689449,8.383212020144384,52.33232498168945,4.232324981689452,8.799012435944805,52.83232498168945,4.732324981689452,9.838513475445845,53.33232498168945,5.232324981689452,10.878014514946885,53.83232498168945,5.732324981689452,11.917515554447924
ab,Comic Sans MS,12.0,normal,13.3,13.34765625,0.04765624999999929,0.35831766917292696,13.84765625,0.5476562499999993,4.117716165413529,14.34765625,1.0476562499999993,7.877114661654129,14.64765625,1.34765625,10.132753759398495,14.84765625,1.5476562499999993,11.636513157894731,15.34765625,2.0476562499999993,15.395911654135332,15.84765625,2.5476562499999993,19.155310150375936,16.34765625,3.0476562499999993,22.914708646616536
abcdefghi,Comic Sans MS,12.0,normal,55.7,52.04296875,-3.657031250000003,-6.56558572710952,56.04296875,0.34296874999999716,0.6157428186714491,60.04296875,4.342968749999997,7.797071364452418,62.44296875,6.742968749999996,12.105868491920997,64.04296875,8.342968749999997,14.978399910233387,68.04296875,12.342968749999997,22.159728456014356,72.04296875,16.342968749999997,29.341057001795324,76.04296875,20.342968749999997,36.5223855475763
abcdefghi,Helsinki Narrow,12.0,normal,42.5,44.813671875000004,2.3136718750000043,5.443933823529422,48.813671875000004,6.313671875000004,14.855698529411775,52.813671875000004,10.313671875000004,24.26746323529413,55.213671875,12.713671875000003,29.914522058823533,56.813671875000004,14.313671875000004,33.67922794117648,60.813671875000004,18.313671875000004,43.09099264705883,64.81367187500001,22.31367187500001,52.502757352941195,68.81367187500001,26.31367187500001,61.91452205882355
